distance (mi),altitude (ft)
20.279,7679.9
20.305,7702.4
20.318,7715.2
20.331,7734.3
20.354,7753.2
20.369,7757.5
20.386,7757.2
20.409,7759.1
20.447,7765.7
20.479,7766.6
20.501,7762.1
20.522,7770.5
20.548,7766
20.572,7742.3
20.584,7741.3
20.603,7761
20.621,7759
20.64,7757
20.662,7742.2
20.689,7720.4
20.71,7724.4
20.727,7736.6
20.745,7768.6
20.768,7780
20.796,7794.3
20.82,7794.9
20.856,7787.5
20.87,7781
20.889,7786
20.908,7763.4
20.926,7763.5
20.936,7757.5
20.954,7754.9
20.971,7751.4
20.999,7752
21.024,7753.7
21.059,7764.2
21.09,7750
21.128,7752.2
21.156,7732.6
21.193,7714.1
21.202,7707.4
21.22,7698.3
21.237,7695.6
21.258,7713.3
21.284,7734.7
21.313,7741.9
21.345,7742.8
21.386,7738.7
21.414,7757.8
21.504,7865.2
21.523,7840.4
21.544,7834.3
21.585,7835
21.623,7841.3
21.691,7792.4
21.754,7680.6
21.786,7613.4
21.804,7643.8
21.832,7691.4
21.859,7727
21.871,7728.5
21.896,7722.6
21.924,7702.8
21.944,7695.6
21.973,7681.2
21.995,7666.4
22.02,7643.8
22.036,7644.5
22.053,7648.4
22.079,7641.1
22.1,7624
22.117,7600.7
22.131,7591.4
22.148,7586.8
22.154,7584.6
22.173,7571.5
22.198,7541.7
22.21,7531.4
22.221,7530.8
22.231,7528.2
22.243,7523.9
22.25,7527
22.256,7522
22.265,7510.3
22.278,7495.7
22.292,7487.7
22.316,7482.6
22.338,7481.9
22.356,7464.1
22.368,7452
22.389,7444
22.403,7446.6
22.411,7447.5
22.422,7447.3
22.441,7435.7
22.463,7435.8
22.496,7444.1
22.515,7454.5
22.537,7464.3
22.551,7461.3
22.581,7479.2
22.594,7496.6
22.612,7497.4
22.63,7497
22.648,7496.9
22.662,7494.6
22.683,7501.5
22.696,7499.4
22.71,7507
22.725,7511.3
22.748,7510.3
22.77,7518.7
22.799,7532.4
22.82,7535.9
22.831,7529.1
22.845,7528.3
22.864,7534.8
22.879,7533.8
22.889,7536.2
22.908,7548.8
22.922,7549.2
22.928,7553
22.951,7577.4
22.975,7600.1
23,7611
23.021,7626.7
23.046,7646.1
23.067,7657.7
23.084,7670.1
23.113,7692
23.139,7694.5
23.159,7687.2
23.176,7682.9
23.187,7673.8
23.197,7662.2
23.219,7646.4
23.234,7640.6
23.245,7641.6
23.255,7641.1
23.265,7638.3
23.272,7638
23.29,7643.3
23.305,7646.4
23.316,7641.6
23.327,7641.7
23.337,7642.9
23.34,7650.1
23.346,7650.7
23.352,7650.4
23.364,7654.3
23.377,7651.2
23.385,7651.7
23.4,7656.1
23.42,7671.4
23.428,7672.6
23.436,7685.3
23.448,7694
23.472,7669.8
23.494,7694.5
23.505,7697.7
23.521,7699.8
23.533,7698.8
23.556,7694.3
23.559,7696.1
23.571,7702
23.58,7698.8
23.596,7683.3
23.615,7667.3
23.627,7658.2
23.643,7648.1
23.665,7636.8
23.682,7626.5
23.692,7623.2
23.708,7619.4
23.727,7615.8
23.746,7616.5
23.766,7607.7
23.775,7605.3
23.798,7583.9
23.81,7576.5
23.826,7582.8
23.843,7588.4
23.859,7583.3
23.872,7571.2
23.899,7546.4
23.915,7541.8
