distance (miles),elevation (ft)
10.39968759,6478.117005
10.41916757,6468.077635
10.43932484,6456.168186
10.50028755,6398.294168
10.52022113,6376.410965
10.53835274,6395.275795
10.5566894,6417.880783
10.79610365,6446.981834
10.8352873,6463.287608
10.85348726,6474.344039
10.87488106,6493.700995
10.89576534,6487.828292
10.90639078,6485.630129
11.03492759,6473.622254
11.05234462,6469.291546
11.07274423,6454.330915
11.08706062,6449.639314
11.10166283,6442.651125
11.12818295,6431.594694
11.20883069,6431.233802
11.23423855,6432.611754
11.2494435,6428.149812
11.26079595,6419.718053
11.2921379,6376.279732
11.30053884,6369.291542
11.31582456,6381.397842
11.34395403,6423.097318
11.36292449,6466.863724
11.40110152,6484.809919
11.45023332,6451.640626
11.47515652,6435.400468
11.49978145,6416.634064
11.57337042,6395.341412
11.59204261,6396.424089
11.60875128,6400.787606
11.65881514,6381.200992
11.67667956,6370.439836
11.80741602,6425.459523
11.82538607,6436.975272
11.84803504,6436.253487
11.92356268,6379.921464
11.93673575,6386.220677
11.95315237,6398.392593
11.97066261,6411.351911
12.05383933,6425.918841
12.08078197,6430.413592
12.09744093,6430.347975
12.12886988,6454.527766
12.21838458,6446.916217
12.23093006,6445.144563
12.26953584,6460.400469
12.29520468,6471.424092
12.32603089,6485.236428
12.39756312,6453.346663
12.4533436,6500.853226
12.48208822,6500.78761
12.61284332,6485.859788
12.62537637,6491.305982
12.63703329,6499.376848
12.65451246,6520.210182
12.70731657,6532.611758
12.73770782,6522.342728
12.85338225,6515.157689
12.87862234,6512.139316
12.90040761,6513.845353
12.92244142,6517.38866
12.93575119,6512.893909
12.95493912,6503.44509
12.96882677,6497.70362
13.03507113,6497.309919
13.04973548,6496.949027
13.30314922,6531.693122
13.34209675,6543.536955
13.36003573,6551.706246
13.3957335,6570.669502
13.41292062,6582.250867
13.43156796,6590.059266
13.45434121,6598.3926
13.49184095,6609.416222
13.56089391,6607.316484
13.62038397,6586.778426
13.63944763,6587.172127
13.69259971,6589.501523
13.70659298,6580.676064
13.72089073,6570.472651
13.73589062,6559.055328
13.78227597,6514.239054
13.798152,6507.054014
13.89022054,6471.227241
13.91229164,6467.421467
13.92361302,6467.519892
13.93605908,6470.702307
13.94860456,6476.968711
13.96292095,6487.729866
13.99323142,6506.988397
14.02292053,6520.111757
14.03824354,6515.879474
14.05214982,6507.316481
14.06547202,6497.867662
14.07922917,6488.451651
14.09399916,6479.85585
14.23414317,6418.14325
14.30773836,6395.767921
14.32491305,6391.305979
14.34205046,6388.287606
14.35929351,6388.386031
14.3923318,6392.946399
14.40903426,6390.05926
14.42540117,6380.085506
14.51187116,6289.698364
14.52669085,6292.487078
14.53930469,6302.821724
14.55457177,6321.620937
14.57841378,6347.769232
14.60272181,6369.849285
14.62137537,6387.697055
14.71809176,6379.724614
14.73326564,6364.140624
14.74640143,6351.050072
14.75840631,6340.715426
14.77174094,6331.988392
14.81821949,6302.723299
14.83433164,6283.956894
14.90421723,6188.386025
14.9380571,6157.578937
14.95379021,6139.009383
14.96990236,6120.931954
15.02788249,6093.307282
15.05522281,6044.389957
15.07375831,6000.45951
15.14516005,5828.543494
15.15973742,5828.116984
15.17533383,5853.116985
15.19165103,5895.899139
15.2083162,5944.914888
15.22724316,6002.624864
15.30221157,6218.897837
15.31736681,6235.006761
15.3664924,6268.897838
15.41927787,6308.071068
15.43639043,6315.026449
15.54505579,6288.845346
15.59349166,6321.588129
